headline,type,year,news_desk_category,GPT_score,GPT_class
How to Fall in Love With Art,multimedia,2018,dining/food,0.7,balanced
"Saab, Denied Court Protection, Faces Bankruptcy",article,2011,uncategorized,-0.8,balanced
Yahoo Says 1 Billion User Accounts Were Hacked,article,2016,business/economy/financial,-0.8,clickbait
Corrections,article,1993,home,0.2,clickbait
"On Campus, Diversity or Unity?",article,2000,media,0.2,clickbait
"It Wasn’t a Wreck, Not Really",article,2011,arts/culture,0.2,clickbait
McCall Comeback,article,1997,sports,0.3,clickbait
M.T.A. Agrees to Allow Its Workers to Wear Religious Headgear,article,2012,entertainment,0.5,balanced
"Paid Notice: Deaths  STARBUCK, MARGARET EASTON",article,1998,lifestyle/living,-0.9,matter-of-fact
Judge Rejects Suit on Bias in Harvard's Hiring,article,1991,world/international/foreign,-0.5,balanced
"News Quiz | February 6, 2013",article,2013,uncategorized,0.0,matter-of-fact
So Much for Reinventing Ourselves Online,article,2010,business/economy/financial,-0.6,clickbait
"For the Vegas Golden Knights, It’s Not Only Magic on Ice",article,2018,opinion/editorial,0.5,clickbait
Impeachment Proceedings Break a Small Town’s Quiet,article,2013,world/international/foreign,-0.5,balanced
Late Run Lifts Michigan Past Rutgers in N.I.T. Final,article,2004,sports,0.6,balanced
Parole for Police Officer’s Killer,article,2010,entertainment,-0.7,clickbait
Canadian Tire reports earnings for Qtr to Apr 2,article,1994,business/economy/financial,0.0,matter-of-fact
"Correction: Review of ‘George, Being George’",article,2008,books/reviews,0.2,balanced
How It Went,article,2011,books/reviews,0.2,clickbait
"House, Like Senate, Votes To Ban H.I.V. Immigrants",article,1993,world/international/foreign,-0.7,clickbait
Status is ... for Retirement-villagers; A (Still!) Valid Driver's License,article,1998,magazine,0.2,clickbait
Disabled Adults at the Fair,article,1996,home,0.2,balanced
World Briefing,article,1999,world/international/foreign,0.0,matter-of-fact
Street Scene in Prague: Drugs and Money,article,1991,media,-0.6,clickbait
Do Stress or Diet Cause Herpes Outbreaks?,article,2010,uncategorized,0.2,balanced
Sexing Up Ukrainian Politics,article,2010,business/economy/financial,0.2,clickbait
From Manhattan to Sierre Leone,article,2011,weekend,0.2,clickbait
"For the Needy, a Web of Matchmakers Offers Help and Hope",article,2005,world/international/foreign,0.6,balanced
Updated Diner Food In Eclectic Decor,article,1997,lifestyle/living,0.5,balanced
Republic Bancorp reports earnings for Qtr to Dec 31,article,1993,business/economy/financial,0.2,matter-of-fact
"At U.C.L.A., a Mixed Reaction to Web-Based Courses",article,1997,world/international/foreign,0.2,balanced
Monserrate Pleads Not Guilty to Assault Charges,article,2009,entertainment,-0.5,balanced
Home-Schoolers Are Hoping to Don Varsity Jackets in Virginia,article,2012,sports,0.2,clickbait
Internet Research Firm Sells Stake to Nielsen,article,1998,business/economy/financial,0.2,balanced
SPARE TIMES: FOR CHILDREN,article,2000,weekend,0.2,balanced
Fast and Economical Mattress Upgrades,article,2009,home,0.4,balanced
Can That Strange Rash Really Be Scarlet Fever?,article,2006,theater,0.1,clickbait
WORLD SERIES: Sports of The Times; 2 Players Who Know The Real World,article,1991,sports,0.2,clickbait
Blake Folds in the First Round at Wimbledon,article,2009,uncategorized,-0.7,matter-of-fact
Koala Mittens and Baby Bottles: Saving Australia’s Animals After Fires,article,2020,world/international/foreign,0.6,balanced
"1,000 Words",article,2009,uncategorized,0.2,clickbait
Cuomo Creates Special Commission to Investigate Corrupt Elected Officials ,article,2013,entertainment,0.3,balanced
Deciding How to Arrange the Names of the 9/11 Fallen,article,2006,home,0.1,balanced
"Parental Quandaries: Drinking (or Not) in the Basement, Resolved",article,2011,uncategorized,0.2,clickbait
"Shopping, Not for Houses But for Illegal Apartments",article,2000,theater,-0.7,clickbait
Conservatives Are (Mostly) Not Libertarians,article,2013,uncategorized,0.2,balanced
Trial Date Is Set in Fight Over Ellis Island,article,1996,home,0.0,balanced
Spare Times,article,2005,weekend,0.2,clickbait
"Dutch Teenager’s Death Sets Off Debate, and Media Corrections",article,2019,world/international/foreign,-0.5,balanced
"Paid Notice: Deaths   MCGINNISS, BARBARA",article,2005,lifestyle/living,-0.8,matter-of-fact
New Sentences: From Nasser Hussain’s ‘SKY WRI TEI NGS’,article,2019,magazine,0.5,clickbait
Volunteers Work to Control Invasive Vines,article,2009,world/international/foreign,0.5,balanced
$98 Million Dream Is History for Mets,article,2002,sports,-0.7,clickbait
Unbridled Inspector or Unsafe Incinerator?,article,1994,world/international/foreign,-0.5,clickbait
Needle Exchange Funds,article,2004,media,0.1,balanced
"Merav Silverman, Ian Ramsay",article,2017,social/society,0.1,matter-of-fact
Brazil Mining Giant Said to Seek Noranda Stake,article,2004,business/economy/financial,0.2,balanced
Software Lets Bloggers Post via Cellphone,article,2005,business/economy/financial,0.5,matter-of-fact
Haiti Quake Day 7: U.N. Aid Efforts,multimedia,2010,world/international/foreign,0.2,balanced
"Children's Books;A Job for Elliott Baa, Private Eye",article,1996,books/reviews,0.5,balanced
Washington's Latest Monument Readies for Takeoff,article,1997,world/international/foreign,0.5,clickbait
"What You Get for ... $250,000",article,2010,real estate,0.2,clickbait
A Chat With David O. Russell,multimedia,2013,arts/culture,0.3,balanced
Co-Leaders Pull Away at Reggio Emilia Chess Tournament,article,2011,uncategorized,0.2,balanced
Why the BBC’s Star Political Reporter Now Needs a Bodyguard,article,2017,world/international/foreign,-0.7,clickbait
A Killer in a Medicine Bottle Shakes Faith in Government,article,2006,world/international/foreign,-0.8,clickbait
Jabil Circuit Inc. reports earnings for Qtr to Nov 30,article,1993,business/economy/financial,0.2,matter-of-fact
A New Frontier for Chinese Art,article,2007,travel,0.6,balanced
Israel’s Democracy Is Broken,article,2019,opinion/editorial,-0.7,clickbait
House Panel Chides ImClone Over Conduct Of Its Founder,article,2002,business/economy/financial,-0.6,balanced
"For Kyrie Irving, a Milestone Week",article,2013,uncategorized,0.7,clickbait
"Paid Notice: Deaths  O'HAGAN, WILLIAM J.",article,1997,lifestyle/living,-0.8,matter-of-fact
Oysters: A Love Story,article,2017,magazine,0.5,clickbait
Corrections,article,1993,home,0.0,clickbait
A Setback to Democrats' Request for Papers on Bolton and Syria,article,2005,world/international/foreign,-0.5,balanced
"Paid Notice: Deaths   KIRSCHNER, PHILIP",article,2004,lifestyle/living,-0.8,matter-of-fact
Children's Books,article,1997,books/reviews,0.5,matter-of-fact
Aiming for Leases Instead of the End Zone,article,2006,business/economy/financial,0.1,clickbait
Escape From Paradise,article,1999,books/reviews,0.3,clickbait
Photofly Brings 3-D Models to the Masses,article,2011,uncategorized,0.5,balanced
U.S. Helped Defeat Serbian Challenger,article,1993,media,0.2,clickbait
The iPad as a Remote Control,article,2010,uncategorized,0.5,balanced
Soccer in the Mah-Jongg Belt;Brazilian Resort Workers Form an Unlikely Catskill Colony,article,1995,home,0.2,clickbait
Syria Under Pressure: Worse Trouble May Lie Ahead,article,2005,world/international/foreign,-0.7,clickbait
Disney Profits Beat Wall Street Predictions,article,2011,uncategorized,0.7,balanced
"Viewpoints;
For Job-Bias Suits, Ballooning Costs",article,1994,business/economy/financial,-0.6,clickbait
Nate Silver on the N.C.A.A. Bracket,multimedia,2013,uncategorized,0.2,balanced
2020 U.S. Open: What to Watch on Thursday,article,2020,sports,0.2,balanced
INSIDE,article,1998,home,0.2,clickbait
U.S. to Rejoin Unesco's Fold After 18 Years,article,2002,world/international/foreign,0.6,balanced
Prosecutors to Seek Three-Month Jail Term for Arenas,article,2010,uncategorized,-0.7,balanced
"Paid Notice: Deaths  SCHLEIFER, ALVIN H. ''BUD''",article,2001,lifestyle/living,-0.8,matter-of-fact
"After the Adoption, a New Child and the Blues",article,2006,science/health,-0.5,clickbait
Wild Boys,article,1999,magazine,0.2,clickbait
Rhetoric of The Bush Critics (5 Letters),article,2004,opinion/editorial,-0.2,balanced
Soundtracks Top Charts,article,2010,arts/culture,0.2,balanced
"Paid Notice: Deaths  MEADE, MARIE LOUISE",article,2002,lifestyle/living,-0.8,matter-of-fact
What's Behind The Retail Slump?,article,2003,business/economy/financial,-0.4,balanced
"Paid Notice: Deaths  PECK, THOMAS SLONIM",article,2003,lifestyle/living,-0.8,matter-of-fact
A Loud Silence in Tunis,article,2004,media,0.0,clickbait
WEST,article,1992,world/international/foreign,0.0,clickbait
"The World of Doom, Tailored to Fit Yours",article,1995,science/health,0.2,clickbait
Studies Say Natural Gas Has Its Own Environmental Problems,article,2011,business/economy/financial,-0.6,balanced
A Hutchison Joint Venture In Wireless,article,2000,business/economy/financial,0.5,balanced
Harvard's Endowment Has A Flow of Crimson Ink,article,1998,business/economy/financial,0.2,clickbait
"In Pursuit of Perks, Buyers Are Returning To Store Credit Cards",article,2003,business/economy/financial,0.3,balanced
The Old Raiders Didn’t Need Bounties to Be Brutal,article,2012,sports,0.2,clickbait
Foreign Buyers Step Up Treasuries Purchases,article,2004,business/economy/financial,0.5,balanced
"Couscous Dinners, Ready When You Are",article,2012,science/health,0.5,balanced
Argentina Moves Toward Legal Abortion Amid Push for Women’s Rights,article,2020,world/international/foreign,0.7,balanced
2 Outcomes When Foreigners Buy Factories,article,2008,business/economy/financial,0.2,clickbait
Apple Sets Standard With Its New Lineup Of Powerful Notebooks,article,1994,science/health,0.8,balanced
"In Yonkers, a ‘Marathoner’s Marathon’",article,2006,theater,0.7,clickbait
Pawlenty Says He’s Not Out to ‘Get a Cable TV Show’,article,2011,uncategorized,0.2,balanced
"A Fearless Skateboarder Lived Fast, but It Did Not Last",article,2008,sports,-0.5,clickbait
Stars Align Better This Session for an Expansion of Gambling,article,2011,world/international/foreign,0.6,clickbait
The Democrats,article,2004,world/international/foreign,0.0,matter-of-fact
Comebacker Shortens Dessens’s Outing,article,2010,uncategorized,-0.3,clickbait
Afghan Rebels Seem a Reluctant Force So Far,article,2001,world/international/foreign,-0.4,balanced
Parents Are Worried As District Struggles,article,2002,weekend,-0.6,balanced
Hardcover Highlights,article,2003,books/reviews,0.3,balanced
Blair Urges Britain to Stay Aggressive Abroad,article,2007,uncategorized,0.3,clickbait
Major Creditors in Accord to Waive 80% of Iraq Debt,article,2004,world/international/foreign,0.6,balanced
Omega Health Systems reports earnings for Qtr to Dec 31,article,1992,business/economy/financial,0.0,matter-of-fact
Young Entrepreneur Sees Little Help In Washington,article,2011,business/economy/financial,-0.6,balanced
"Paid Notice: Deaths   SALTEN, DAVID G.",article,2006,lifestyle/living,-0.8,matter-of-fact
Mysterious Larchmont,article,2001,theater,0.2,clickbait
Mets Happy To Finally Be Bound For Camp,article,1995,sports,0.6,balanced
Foreign Investment Agency Is Rebuffed in House Vote,article,1996,business/economy/financial,-0.5,balanced
"Sephora, a luxury beauty products vendor, plans a campaign to raise its profile among consumers.",article,1999,business/economy/financial,0.6,balanced
"From the Netherlands, With Attitude",article,2007,weekend,0.5,clickbait
Editors' Note,article,1998,home,0.2,matter-of-fact
New York Fashion Week: Rag & Bone Fall/Winter 2015,article,2015,fashion/style,0.2,matter-of-fact
New York Salutes the Giants,multimedia,2008,uncategorized,0.6,balanced
"NORTHEAST NOTEBOOK: Waldorf, Md.;
2 New Stores For Retail Area",article,1991,real estate,0.3,balanced
The Wrong Man In Wrong Photo Feels Wronged,article,1991,home,0.2,clickbait
"Paid Notice: Deaths  MCSHERRY, NANCY",article,1999,lifestyle/living,-0.8,matter-of-fact
Gambians Face Uncertainty After President Rejects His Defeat,article,2016,world/international/foreign,-0.8,clickbait
"After Ford’s Death, Tributes Are Set for Capital",article,2006,world/international/foreign,-0.6,balanced
"‘Trust Your Gut’ Might Actually Be Profitable Advice on Wall Street, Study Says",article,2016,business/economy/financial,0.6,clickbait
PRO BASKETBALL: N.B.A.'s Lost and Found: Knicks and Nets; 4-0,article,2002,sports,0.4,clickbait
Apple and Dr. Dre Are Said to Be Planning an Original TV Show,article,2016,business/economy/financial,0.5,balanced
"Glendale Federal Bank (GLN,N) reports earnings for Qtr to Dec 31",article,1995,business/economy/financial,0.0,matter-of-fact
In America; Saving the Cities,article,1998,media,0.5,clickbait
South Africa Confronts Brutalities Of One Man,article,1999,world/international/foreign,-0.8,clickbait
"Paid Notice: Deaths   GOLDBERG, JEROME",article,2005,lifestyle/living,-0.8,matter-of-fact
"Brooklyn Man Kills His Wife, Then Himself, Officers Say",article,1991,home,-1.0,clickbait
Hills Stores Has Deficit,article,1991,business/economy/financial,-0.7,clickbait
"Food Stamp Spending and Caseload Are Declining, Report Says",article,2013,uncategorized,-0.5,balanced
A la Carte: Down Home,article,1991,weekend,0.3,balanced
"Eliminate Newspapers, Save the Planet?",article,2009,uncategorized,0.2,clickbait
INTERNATIONAL BRIEFS;Japan's Trade Surplus Off 25% in Latest Year,article,1996,business/economy/financial,-0.5,matter-of-fact
"ISIS, Afghanistan’s Accidental Broker?",article,2016,opinion/editorial,-0.5,clickbait
"Heads Turn and Eggs Roll, but Perilous Times Darken Easter",article,2002,home,-0.5,clickbait
BOOKS OF THE TIMES;Back on Familiar Turf: Noisy Flows the Don,article,1996,travel,0.0,balanced
"A Father Looks On Not With Pride, but With Gratitude",article,2011,entertainment,0.3,balanced
"A Birthday Party Livened, By Interconnecting Arrays",article,2003,arts/culture,0.5,clickbait
The Terminator and the Hulk Help Build a Career,article,2003,business/economy/financial,0.4,clickbait
"Paid Notice: Deaths  MOSER, FELICIA",article,2001,lifestyle/living,-0.8,matter-of-fact
The Wind Farmers of East 11th Street,article,2008,uncategorized,0.3,clickbait
"Charizard Beats Psyduck, But Pikachu's the Cutest",article,1999,arts/culture,0.1,clickbait
Artful Window Dressing,article,2005,home,0.5,clickbait
In the Region: Connecticut and Westchester; Making the Iroquois Pipeline Palatable,article,1992,real estate,0.2,clickbait
Where the Lower East Side Keeps Trendy Masses at Bay,article,2004,weekend,-0.3,clickbait
RESULTS PLUS,article,1997,sports,0.5,clickbait
Often-Injured Johnson Is Back With the Suns,article,1992,sports,0.2,balanced
"Same Night, Same Channel, Same Giant Bummer",article,2004,sports,-0.6,clickbait
"Broncos Win, but Not Without Raising Doubts for Playoffs",article,2013,sports,0.2,clickbait
"In Cairo, a Prison Sentence for Groping",article,2008,uncategorized,-0.6,balanced
1964: Ethiopian Wins 2nd Olympic Marathon in Tokyo,article,2014,world/international/foreign,0.8,balanced
Violence Is Never the Answer,article,2016,opinion/editorial,0.8,balanced
Fans React to Jackson's Death,multimedia,2009,arts/culture,-0.8,clickbait
"Police Antiterrorism Analyst Sues City, Citing Anti-Muslim E-Mail",article,2006,home,-0.7,balanced
Qatar May Buy Into English Team Leeds,article,2019,sports,0.2,balanced
"Connecticut Q&A: Sidney J. Holbrook;Clean Air, Clean Water, Tough Rules",article,1996,weekend,0.5,balanced
2 Arrested in Kidnapping of Men in Queens,article,1994,home,-0.7,balanced
The Original Green Lantern,article,2013,uncategorized,0.3,clickbait
Questions for a Trade Official,article,2009,opinion/editorial,0.2,balanced
THE MARKETS: CURRENCIES,article,1999,business/economy/financial,0.2,matter-of-fact
‘An Addict With Friends’,article,2014,entertainment,0.2,clickbait
"Free Speech for Broadcasters, Too",article,2010,opinion/editorial,0.3,balanced
By the Book: Reese Witherspoon,article,2018,books/reviews,0.5,clickbait
Judge Questions Teamsters' Will To Avoid Crime,article,1992,world/international/foreign,-0.5,balanced
"Phelps May Partner Up for High Inco Bid, Report Says",article,2006,business/economy/financial,0.3,clickbait
Seeking Ways to Fill All Those Tiny Screens,article,2006,times,0.2,clickbait
Discarded Manager Basks in Cheers at Fenway,article,2012,sports,0.6,clickbait
Zambia Announces Deal to Sell Copper Mines,article,1998,world/international/foreign,0.2,balanced
The Tax Obsession,article,1995,business/economy/financial,-0.4,clickbait
"Winning Lottery Numbers for March 6, 2014",article,2014,entertainment,0.0,clickbait
The Morning Skate: The Kovalchoke,article,2010,uncategorized,0.2,clickbait
MAKING IT WORK; 2 Bam! 3 Crack! 1 Dragon! (It's Not a Kung Fu Film),article,1998,theater,0.3,clickbait
Pampered Toes,article,2000,travel,0.3,clickbait
Aladdin Is Not An Actor,article,1993,media,0.0,clickbait
Seafood Restaurants Cast a Wider Net for Sustainable Fish,article,2015,dining/food,0.7,balanced
Corrections,article,2000,home,0.0,clickbait
Standard Chartered Is Said to Be Interested in R.B.S. Assets,article,2009,uncategorized,0.2,balanced
Housing With a Clean Conscience,article,2005,home,0.7,balanced
State Department Official Turned Lobbyist Is Accused of Illegally Working for Sudan,article,2009,world/international/foreign,-0.8,balanced
"Global Slavery, by the Numbers",article,2013,uncategorized,-0.8,balanced
Smelling the Coffee,article,2001,times,0.7,clickbait
God Is in the Details,article,2003,books/reviews,0.5,clickbait
Iranian TV Sees Conspiracy in Neda Video,article,2010,uncategorized,-0.5,clickbait
"Rafa When I’m Up, Kyrgios When I’m Down ",article,2018,opinion/editorial,0.5,clickbait
Inspections on Bridges Are Falsified,article,2008,world/international/foreign,-0.8,clickbait
Zoning as a Weapon In the Affluent Suburb,article,1994,weekend,-0.6,clickbait
"The Once And Future Network; Wiring the Home Has Made Big Strides, but Has Far to Go",article,1999,times,0.2,balanced
"With Court Prize in Sight, Republicans Unite Behind Trump Once Again",article,2020,fashion/style,0.5,clickbait
Those Dinosaurs Weren't Even as Sweet as They Looked,article,2003,weekend,-0.5,clickbait
Corrections,article,2008,obituary,0.0,clickbait
Mission Trail,article,1991,travel,0.2,matter-of-fact
Harrington’s Faint Hopes,article,2010,uncategorized,0.2,clickbait
In the Best Interests of Baseball,article,2007,uncategorized,0.2,balanced
"Back Home Again, and Little Has Changed",article,2014,weekend,0.2,balanced
On the Market,multimedia,2005,real estate,0.2,clickbait
American Science & Engineering Inc. reports earnings for Qtr to March 31,article,1992,business/economy/financial,0.0,matter-of-fact
Justices Ease Court Controls In School Desegregation Case,article,1992,uncategorized,0.2,balanced
A Classic Tale Springs From the Cupboard,article,1995,sports,0.2,clickbait
Hedge Fund to Vote Against Chiron Merger,article,2006,business/economy/financial,-0.5,balanced
MOVIE GUIDE,article,2003,weekend,0.2,balanced
Peace in Kosovo: Uncertain at Best,article,1999,media,-0.6,clickbait
"A Jogging Biden Hears Calls to ‘Run, Joe, Run!’",article,2015,world/international/foreign,0.5,clickbait
Can ‘Magazines’ of The Times Subsidize News Coverage?,article,2006,media,0.2,clickbait
NEIGHBORHOOD REPORT: UPPER EAST SIDE;ELECTION WATCH: Council Contest on Tuesday,article,1996,theater,0.1,balanced
"In Mideast, Powell Presses Israel and Palestinians on Gaza Plan",article,2003,education,0.0,balanced
Nouveau-Old Newport,multimedia,2006,home,0.2,clickbait
Fee Talks at Standstill for Lifetime Network,article,2006,business/economy/financial,-0.5,matter-of-fact
The Right Way to Listen to Ragas: Carefully,article,1994,travel,0.5,balanced
McCain Introduces Palin,multimedia,2008,uncategorized,0.2,matter-of-fact
"Paid Notice: Deaths  GALLAGHER, GRACE S.",article,1999,lifestyle/living,-0.8,matter-of-fact
"Paid Notice: Deaths  KURTA, SANDY",article,1999,lifestyle/living,-0.8,matter-of-fact
Living With Music: Roger Bennett and Josh Kun,article,2008,arts/culture,0.5,balanced
Home-Court Advantage Suits Sharapova,article,2012,sports,0.7,clickbait
"King Coal Country Debates a Sacrilege, Gas Heat",article,2008,world/international/foreign,-0.3,clickbait
On the Eve of the Bush Presidency,article,2001,media,0.0,clickbait
World Briefing | Africa: South Africa: Setback For Accused Coup Financier,article,2004,world/international/foreign,-0.5,balanced
The Week Ahead,multimedia,2007,uncategorized,0.2,balanced
"Flickering Candles, Falling Tears and Smiles for a New Baby; Erasing All Boundaries",article,2001,weekend,0.7,clickbait
"For Governor's Third Inauguration, Moderation",article,2002,home,0.2,balanced
Why Can't Johnny Retire?,article,2002,business/economy/financial,0.2,clickbait
"Sex and the City, By Way of Molière",article,2004,weekend,0.2,clickbait
"Settling of Crisis Makes Winners of Andes Nations, While Rebels Lose Ground",article,2008,world/international/foreign,0.6,balanced
A Paradox at the Heart of the Newspaper Crisis,article,2019,world/international/foreign,-0.5,clickbait
Still Time to Buy ‘The Clock’ for the Right Price,article,2011,uncategorized,0.3,clickbait
Mayor Names Replacement for Doctoroff,article,2007,entertainment,0.2,balanced
Lower Estate Taxes Will Hurt Small Farms,article,1997,media,-0.6,clickbait
Precautionary Tales,article,2013,uncategorized,0.2,clickbait
Examining the Artists of the Revolutionary Era,article,2016,books/reviews,0.3,balanced
Highway of Drugs -- A special report.; Opium Finding Its Silk Road In the Chaos of Central Asia,article,1995,world/international/foreign,-0.7,clickbait
Wisconsin Rewards Its Coach,article,1994,sports,0.6,clickbait
One Thing's Almost Certain: He Wasn't at Gracie Mansion,article,2002,home,-0.2,clickbait
OFF THE MENU,article,2001,dining/food,0.2,clickbait
Clinton and Obama Debate in Philadelphia,multimedia,2008,business/economy/financial,0.2,balanced
On Politics: The Biggest Stories of the Week,article,2019,politics,0.2,balanced
Lawmakers' Pet Projects (and Not Just for Roads) Find Home in Transportation Bill,article,2005,world/international/foreign,0.2,clickbait
Prescriptions: The Crankiness of the Defeated,article,2009,world/international/foreign,-0.6,clickbait
They'll Take Job Security Over Respect,article,2001,home,-0.5,clickbait
Eric the Flyer Makes the Devils See Red,article,1992,sports,0.5,clickbait
BofA Moves to Reduce Dependence on Aid,article,2009,uncategorized,0.2,balanced
Ruffling Fuzzy Conservatism Is Goal of Liberal Watchdog,article,1999,weekend,0.2,clickbait
"Walter Taylor, 69, Co-Founder Of a Major New York Vineyard",article,2001,home,0.1,balanced
"Paid Notice: Deaths  LISKOVSKY, IRENE",article,2001,lifestyle/living,-0.8,matter-of-fact
"Democratic Member to Quit Election Commission, Setting Up Political Fight",article,2017,world/international/foreign,-0.3,clickbait
"Mickey Vernon, a Star for a Lackluster Franchise, Is Dead at 90",article,2008,sports,-0.5,balanced
Texas Primary Election Results: 26th House District,multimedia,2020,business/economy/financial,0.0,matter-of-fact
An Earlier Satire,article,2008,entertainment,0.2,clickbait
Thomas Demand,article,2012,weekend,0.0,matter-of-fact
New York Jobless Rate Jumped in May,article,2008,uncategorized,-0.6,balanced
CHATTER;Are Backpacks a Menace?,article,1996,weekend,-0.2,clickbait
Tuesday. An Apartment. Three Pounds From Mexico.,article,1997,home,0.2,clickbait
Gunmen Kill Afghan Cleric Who Condemned Taliban Leaders,article,2005,world/international/foreign,-0.9,balanced
Ultimate Casting Director: U.S. Government,article,2006,uncategorized,0.0,clickbait
INSIDE,article,2003,home,0.2,clickbait
The Season’s Most Delicate Pastels,multimedia,2016,magazine,0.7,balanced
"Hotel Review: Shattuck Plaza Hotel in Berkeley, Calif.",article,2010,travel,0.5,matter-of-fact
Russian Deal to Create World’s Biggest Aluminum Maker,article,2006,business/economy/financial,0.5,balanced
The Dems' New Dream Team,article,2004,times,0.5,clickbait
INSIDE,article,2005,home,0.1,clickbait
"Gaza First, but Not Last",article,2004,media,0.2,clickbait
A Kaleidoscope of Lights and Crowds,article,2012,entertainment,0.5,clickbait
‘Our Boys’ Explores the Anatomy of Hate Crimes,article,2019,arts/culture,0.2,balanced
"Vying for Union Backing, Florio and Corzine Exchange Barbs",article,2000,home,0.0,clickbait
"Chuck Rayner, 82, Star Goalie for Rangers",article,2002,sports,0.2,balanced
"The Streets, at 4 A.M.",article,2002,media,0.2,clickbait
Art in Review,article,1992,weekend,0.2,balanced
Russia Delivers Mixed Signals on Its Military Campaign,article,1994,world/international/foreign,0.0,clickbait
TENNECO GAS RAISES $75 MILLION FOR INVESTMENTS,article,1992,business/economy/financial,0.5,matter-of-fact
E.U. Drops Antitrust Case Against Qualcomm,article,2009,business/economy/financial,-0.5,balanced
Isabel Toledo Dies at 59; Designed Michelle Obama’s Inaugural Outfit,article,2019,obituary,-0.6,balanced
Wingfield Goes Pro,article,1994,sports,0.5,clickbait
"Paid Notice: Memorials  CARTER, DAVID",article,1999,lifestyle/living,-0.5,matter-of-fact
Kuwait Is Allowing U.S. to Station a Squadron of Warplanes,article,1994,world/international/foreign,0.5,balanced
Amsco Prices Debentures,article,1992,business/economy/financial,0.2,matter-of-fact
"Woke Up This Morning, Got Yourself a Loaf",article,2004,weekend,0.2,clickbait
"TELEVISION: Big Hospitals, Strong Women, Prime Time; Playing A Difficult, Bighearted Feminist",article,1998,sports,0.6,clickbait
DIARY,article,1998,business/economy/financial,0.2,matter-of-fact
New Chance for Peace,article,2010,opinion/editorial,0.6,clickbait
Florida Deputy Charged With Child Abuse After Throwing 15-Year-Old to Ground,article,2019,special features,-0.8,clickbait
"Paid Notice: Deaths   JORDAN, JOSEPHINE C.",article,2005,lifestyle/living,-0.8,matter-of-fact
Newt as Diogenes in a Dark Capitol,article,2006,media,0.2,clickbait
Metro Business; Prudential to Build New Office Complex,article,1998,home,0.5,balanced
"$25 and Under; Two Out of Three (Food, Price, Service) Isn't Bad",article,1998,dining/food,0.5,clickbait
"Fumio Yoshimura, 76, Sculptor of Everyday",article,2002,arts/culture,0.2,balanced
One African Takes Fangs Over Fido As a Sentry,article,1997,world/international/foreign,0.2,clickbait
Justice Dept. to Honor Team That Worked on Kavanaugh Confirmation Process,article,2019,fashion/style,0.6,balanced
The Nation,article,1998,weekend,0.0,matter-of-fact
The Soup That Ate Manhattan,article,2002,dining/food,0.0,clickbait
Attention: Deficit Disorder,article,2005,media,0.0,balanced
A Nation Challenged,article,2001,home,0.2,clickbait
"An End Run Out of Poverty, Into an N.F.L. Trajectory",article,2006,arts/culture,0.7,clickbait
The British Museum Reopens to a World That Has Changed,article,2020,arts/culture,0.2,balanced
Congestion Pricing (1 Letter),article,2007,entertainment,0.2,clickbait
"Once Slave to Luxury, Japan Catches Thrift Bug",article,2009,business/economy/financial,0.2,clickbait
Patterns,article,1996,lifestyle/living,0.2,matter-of-fact
Sept. 24-30; More Poverty In the Making,article,1995,weekend,-0.7,clickbait
The E.P.A.’s Smoke and Mirrors on Climate,article,2017,opinion/editorial,-0.5,clickbait
Bronx Mourns First Death From Gulf War,article,1991,home,-0.8,balanced
"The Duty to Protect, Still Urgent",article,2013,opinion/editorial,0.5,balanced
Rangers Planning to Try Youth,article,1999,sports,0.5,balanced
2 Weekend Hits Cheer the Film Industry,article,1991,travel,0.7,balanced
Short Stories,multimedia,2004,fashion/style,0.2,balanced
"Designer as Dramatist, and the Tales He Left Behind",article,2011,arts/culture,0.3,clickbait
Corporate Teachers Enroll Schools,article,1991,theater,0.2,clickbait
Yacht Owners Want to Sit in the Driver's Seat,article,1998,sports,0.2,clickbait
Who's Behind Hysteria in the Maine Woods?; Monterey Safeguarded,article,1992,media,0.1,clickbait
MEMO PAD,article,2006,business/economy/financial,0.0,matter-of-fact
Rangers Set Refund Policy,article,1992,sports,0.2,matter-of-fact
Corrections,article,1995,home,0.0,clickbait
Big Brother Carefully Coaches Writers,article,1994,science/health,0.2,clickbait
Unspeakable Conversations,article,2003,magazine,0.0,clickbait
'Internal strains' forecast for China,article,2005,uncategorized,-0.6,balanced
36 Hours in Barcelona,article,2009,travel,0.5,balanced
Maple’s Got Some New Tricks,article,2006,dining/food,0.4,clickbait
Palestinian Leader Renews Call for New Elections,article,2006,uncategorized,0.2,balanced
Keeping It Simple as Well as Fresh,article,2009,fashion/style,0.3,balanced
"Traveling to the Ends of the Earth, at Ground Level",article,2007,travel,0.2,clickbait
They'll Be Hanged,article,2002,weekend,-0.8,clickbait
Accounts and People of Note in the Advertising Industry,article,2013,business/economy/financial,0.0,balanced
Whos Scarier: The Hunter or the Hunted? (4 Letters),article,2003,opinion/editorial,0.2,clickbait
"Amid Stacks of Paper, ‘E-Court’ Is Finally in Session",article,2011,entertainment,0.3,clickbait
Home-Schooled Football League Thrives in Georgia,article,2009,sports,0.8,balanced
ABC Moves to Expand Its Reach on Video Web Sites,article,2008,business/economy/financial,0.6,balanced
Hawaii Primary Election Results: First Congressional District,multimedia,2020,business/economy/financial,0.0,matter-of-fact
